userId,foundation,interest1,interest2
apt0,96,49,50
apt1,96,50,51
apt2,96,51,52
apt3,96,52,53
apt4,96,53,54
apt5,96,54,55
apt6,96,55,56
apt7,96,56,57
apt8,96,57,58
apt9,96,58,59
apt10,96,59,60
apt11,96,60,61
apt12,96,61,62
apt13,96,62,63
apt14,96,63,64
apt15,96,64,65
apt16,96,65,4358
apt17,96,4358,67
apt18,96,67,68
apt19,96,68,69
apt20,96,69,70
apt21,96,70,71
apt22,96,71,72
apt23,96,72,73
apt24,96,73,74
apt25,96,74,75
apt26,96,75,76
apt27,96,76,77
apt28,96,77,4358
apt29,97,49,50
apt30,97,50,51
apt31,97,51,52
apt32,97,52,53
apt33,97,53,54
apt34,97,54,55
apt35,97,55,56
apt36,97,56,57
apt37,97,57,58
apt38,97,58,59
apt39,97,59,60
apt40,97,60,61
apt41,97,61,62
apt42,97,62,63
apt43,97,63,64
apt44,97,64,65
apt45,97,65,4358
apt46,97,4358,67
apt47,97,67,68
apt48,97,68,69
apt49,97,69,70
apt50,97,70,71
apt51,97,71,72
apt52,97,72,73
apt53,97,73,74
apt54,97,74,75
apt55,97,75,76
apt56,97,76,77
apt57,97,77,4358
apt58,98,49,50
apt59,98,50,51
apt60,98,51,52
apt61,98,52,53
apt62,98,53,54
apt63,98,54,55
apt64,98,55,56
apt65,98,56,57
apt66,98,57,58
apt67,98,58,59
apt68,98,59,60
apt69,98,60,61
apt70,98,61,62
apt71,98,62,63
apt72,98,63,64
apt73,98,64,65
apt74,98,65,4358
apt75,98,4358,67
apt76,98,67,68
apt77,98,68,69
apt78,98,69,70
apt79,98,70,71
apt80,98,71,72
apt81,98,72,73
apt82,98,73,74
apt83,98,74,75
apt84,98,75,76
apt85,98,76,77
apt86,98,77,4358
apt87,99,49,50
apt88,99,50,51
apt89,99,51,52
apt90,99,52,53
apt91,99,53,54
apt92,99,54,55
apt93,99,55,56
apt94,99,56,57
apt95,99,57,58
apt96,99,58,59
apt97,99,59,60
apt98,99,60,61
apt99,99,61,62
apt100,99,62,63
apt101,99,63,64
apt102,99,64,65
apt103,99,65,4358
apt104,99,4358,67
apt105,99,67,68
apt106,99,68,69
apt107,99,69,70
apt108,99,70,71
apt109,99,71,72
apt110,99,72,73
apt111,99,73,74
apt112,99,74,75
apt113,99,75,76
apt114,99,76,77
apt115,99,77,4358
apt116,100,49,50
apt117,100,50,51
apt118,100,51,52
apt119,100,52,53
apt120,100,53,54
apt121,100,54,55
apt122,100,55,56
apt123,100,56,57
apt124,100,57,58
apt125,100,58,59
apt126,100,59,60
apt127,100,60,61
apt128,100,61,62
apt129,100,62,63
apt130,100,63,64
apt131,100,64,65
apt132,100,65,4358
apt133,100,4358,67
apt134,100,67,68
apt135,100,68,69
apt136,100,69,70
apt137,100,70,71
apt138,100,71,72
apt139,100,72,73
apt140,100,73,74
apt141,100,74,75
apt142,100,75,76
apt143,100,76,77
apt144,100,77,4358
apt145,101,49,50
apt146,101,50,51
apt147,101,51,52
apt148,101,52,53
apt149,101,53,54
apt150,101,54,55
apt151,101,55,56
apt152,101,56,57
apt153,101,57,58
apt154,101,58,59
apt155,101,59,60
apt156,101,60,61
apt157,101,61,62
apt158,101,62,63
apt159,101,63,64
apt160,101,64,65
apt161,101,65,4358
apt162,101,4358,67
apt163,101,67,68
apt164,101,68,69
apt165,101,69,70
apt166,101,70,71
apt167,101,71,72
apt168,101,72,73
apt169,101,73,74
apt170,101,74,75
apt171,101,75,76
apt172,101,76,77
apt173,101,77,4358
apt174,102,49,50
apt175,102,50,51
apt176,102,51,52
apt177,102,52,53
apt178,102,53,54
apt179,102,54,55
apt180,102,55,56
apt181,102,56,57
apt182,102,57,58
apt183,102,58,59
apt184,102,59,60
apt185,102,60,61
apt186,102,61,62
apt187,102,62,63
apt188,102,63,64
apt189,102,64,65
apt190,102,65,4358
apt191,102,4358,67
apt192,102,67,68
apt193,102,68,69
apt194,102,69,70
apt195,102,70,71
apt196,102,71,72
apt197,102,72,73
apt198,102,73,74
apt199,102,74,75
apt200,102,75,76
